occpCode,occupLevel,catOccp
0,No_Occupation,9
10,A1-Mgmt Bus,1
20,A1-Mgmt Bus,1
40,A1-Mgmt Bus,1
50,A1-Mgmt Bus,1
60,A1-Mgmt Bus,1
100,A1-Mgmt Bus,1
110,A1-Mgmt Bus,1
120,A1-Mgmt Bus,1
130,A1-Mgmt Bus,1
135,A1-Mgmt Bus,1
136,A1-Mgmt Bus,1
137,A1-Mgmt Bus,1
140,A1-Mgmt Bus,1
150,A1-Mgmt Bus,1
160,A1-Mgmt Bus,1
200,A1-Mgmt Bus,1
205,A1-Mgmt Bus,1
210,A1-Mgmt Bus,1
220,A1-Mgmt Bus,1
230,A1-Mgmt Bus,1
300,A1-Mgmt Bus,1
310,A1-Mgmt Bus,1
320,A1-Mgmt Bus,1
330,A1-Mgmt Bus,1
340,A1-Mgmt Bus,1
350,A1-Mgmt Bus,1
360,A1-Mgmt Bus,1
410,A1-Mgmt Bus,1
420,A1-Mgmt Bus,1
425,A1-Mgmt Bus,1
430,A1-Mgmt Bus,1
500,A1-Mgmt Bus,1
510,A1-Mgmt Bus,1
520,A1-Mgmt Bus,1
530,A1-Mgmt Bus,1
540,A1-Mgmt Bus,1
560,A1-Mgmt Bus,1
565,A1-Mgmt Bus,1
600,A1-Mgmt Bus,1
620,A1-Mgmt Bus,1
630,A1-Mgmt Bus,1
640,A1-Mgmt Bus,1
650,A1-Mgmt Bus,1
700,A1-Mgmt Bus,1
710,A1-Mgmt Bus,1
720,A1-Mgmt Bus,1
725,A1-Mgmt Bus,1
726,A1-Mgmt Bus,1
730,A1-Mgmt Bus,1
735,A1-Mgmt Bus,1
740,A1-Mgmt Bus,1
800,A1-Mgmt Bus,1
810,A1-Mgmt Bus,1
820,A1-Mgmt Bus,1
830,A1-Mgmt Bus,1
840,A1-Mgmt Bus,1
850,A1-Mgmt Bus,1
860,A1-Mgmt Bus,1
900,A1-Mgmt Bus,1
910,A1-Mgmt Bus,1
930,A1-Mgmt Bus,1
940,A1-Mgmt Bus,1
950,A1-Mgmt Bus,1
1000,B1-Prof Specialty,2
1005,B1-Prof Specialty,2
1006,B1-Prof Specialty,2
1007,B1-Prof Specialty,2
1010,B1-Prof Specialty,2
1020,B1-Prof Specialty,2
1030,B1-Prof Specialty,2
1040,B4-Technical Unskilled,2
1050,B1-Prof Specialty,2
1060,B1-Prof Specialty,2
1100,B1-Prof Specialty,2
1105,B1-Prof Specialty,2
1106,B1-Prof Specialty,2
1107,B1-Prof Specialty,2
1110,B1-Prof Specialty,2
1200,B1-Prof Specialty,2
1220,B1-Prof Specialty,2
1240,B1-Prof Specialty,2
1300,B1-Prof Specialty,2
1310,B1-Prof Specialty,2
1320,B1-Prof Specialty,2
1340,B1-Prof Specialty,2
1350,B1-Prof Specialty,2
1360,B1-Prof Specialty,2
1400,B1-Prof Specialty,2
1410,B1-Prof Specialty,2
1420,B1-Prof Specialty,2
1430,B1-Prof Specialty,2
1440,B1-Prof Specialty,2
1450,B1-Prof Specialty,2
1460,B1-Prof Specialty,2
1520,B1-Prof Specialty,2
1530,B1-Prof Specialty,2
1540,B4-Technical Unskilled,2
1550,B4-Technical Unskilled,2
1560,B4-Technical Unskilled,2
1600,B1-Prof Specialty,2
1610,B1-Prof Specialty,2
1640,B1-Prof Specialty,2
1650,B1-Prof Specialty,2
1700,B1-Prof Specialty,2
1710,B1-Prof Specialty,2
1720,B1-Prof Specialty,2
1740,B1-Prof Specialty,2
1760,B1-Prof Specialty,2
1800,B1-Prof Specialty,2
1810,B1-Prof Specialty,2
1820,B1-Prof Specialty,2
1840,B1-Prof Specialty,2
1860,B1-Prof Specialty,2
1900,B4-Technical Unskilled,2
1910,B4-Technical Unskilled,2
1920,B4-Technical Unskilled,2
1930,B4-Technical Unskilled,2
1960,B4-Technical Unskilled,2
1965,B4-Technical Unskilled,2
2000,B1-Prof Specialty,2
2010,B1-Prof Specialty,2
2015,B1-Prof Specialty,2
2016,B4-Technical Unskilled,2
2020,B4-Technical Unskilled,2
2025,B1-Prof Specialty,2
2040,B1-Prof Specialty,2
2050,B1-Prof Specialty,2
2060,B1-Prof Specialty,2
2100,B1-Prof Specialty,2
2105,B4-Technical Unskilled,2
2140,B4-Technical Unskilled,2
2145,B4-Technical Unskilled,2
2150,B4-Technical Unskilled,2
2160,B4-Technical Unskilled,2
2200,B2-Post Education,3
2300,B4-Technical Unskilled,2
2310,B2-Education,4
2320,B2-Education,4
2330,B2-Education,4
2340,B4-Technical Unskilled,2
2400,B2-Education,4
2430,B2-Education,4
2440,B4-Technical Unskilled,2
2540,B4-Technical Unskilled,2
2550,B2-Education,4
2600,B1-Prof Specialty,2
2630,B4-Technical Unskilled,2
2700,B4-Technical Unskilled,2
2710,B1-Prof Specialty,2
2720,B4-Technical Unskilled,2
2740,B4-Technical Unskilled,2
2750,B4-Technical Unskilled,2
2760,B4-Technical Unskilled,2
2800,B4-Technical Unskilled,2
2810,B1-Prof Specialty,2
2820,B1-Prof Specialty,2
2825,B1-Prof Specialty,2
2830,B1-Prof Specialty,2
2840,B1-Prof Specialty,2
